tau_elig=0.04,eta=0.1,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,2,2,2,0,1,0,0,3,0,1,1,0,0,,,,,,
2,0,4,2,3,0,3,2,1,1,1,1,3,1,0,3,0,3,0,0,,,
3,0,0,1,1,0,4,1,1,,,,,,,,,,,,,,
4,24,0,1,3,1,3,49,0,0,0,0,0,2,0,0,1,0,1,,,,
5,2,3,0,0,0,1,0,0,0,0,3,1,0,13,0,4,1,2,0,1,0,2
6,3,1,0,3,0,0,1,0,0,0,2,3,1,0,,,,,,,,
7,4,1,0,3,2,1,3,1,0,0,2,0,2,1,0,0,,,,,,
8,2,3,0,0,0,1,1,2,1,2,0,,,,,,,,,,,
9,2,3,3,3,0,0,0,2,1,2,2,1,2,0,0,1,,,,,,
10,2,0,3,1,0,0,0,0,2,3,0,0,4,5,0,1,0,0,0,0,,
11,2,3,0,2,0,3,0,0,83,2,0,3,1,2,0,,,,,,,
12,4,2,1,3,3,0,0,1,1,2,0,1,1,0,0,0,,,,,,
13,1,2,2,0,2,2,1,0,0,1,0,0,,,,,,,,,,
14,2,2,1,1,0,4,0,0,1,2,0,0,2,2,1,0,,,,,,
15,1,0,0,0,0,2,2,1,0,0,1,2,0,0,34,3,,,,,,
16,0,1,3,0,1,2,3,2,0,1,1,2,0,,,,,,,,,
17,13,0,1,1,1,2,3,0,1,0,1,0,1,1,0,0,0,,,,,
18,0,2,2,1,25,0,0,0,0,0,1,0,2,0,0,0,1,2,3,,,
19,3,1,2,2,1,0,1,1,2,1,0,0,2,3,1,0,,,,,,
20,2,0,1,3,0,1,1,3,1,0,2,0,0,0,4,,,,,,,
21,1,0,0,2,1,1,3,0,2,1,2,1,1,1,0,0,0,0,2,3,,
22,3,1,4,3,3,0,1,2,0,0,0,0,44,0,0,0,3,0,3,0,,
23,0,3,2,0,0,0,0,0,1,0,0,1,0,1,1,1,,,,,,
24,0,1,1,3,3,2,0,4,3,0,3,2,2,2,1,1,0,2,0,,,
25,1,25,2,0,0,0,2,2,1,0,0,1,0,2,2,,,,,,,
26,23,1,2,1,2,2,0,1,1,1,1,2,1,0,1,0,0,,,,,
27,0,2,0,2,2,0,3,0,0,0,0,0,4,1,0,2,0,1,1,3,,
28,4,1,0,0,2,3,3,3,0,3,1,2,0,0,0,0,,,,,,
29,0,0,2,0,0,2,1,1,0,2,0,2,0,3,0,0,,,,,,
