,,,,,,,,,,,,,,,,,,,,
tau_elig=0.04,eta=0.001,,,,,,,,,,,,,,,,,,,
34,6.23,9.86,15.78,37.68,32.97,32.64,38.43,98.6,24.81,3.69,34.7,64.18,18.86,3.44,32.59,6.16,18.87,37.15,20.79,35.43
35,22.03,12.83,6.29,22.14,53.35,44.87,14.85,3.27,26.71,56.19,19.12,34.76,23.16,20.14,17.66,13.26,44.07,32.2,1.79,58.18
36,34.51,21.56,34.99,72.26,12.16,65.59,13.88,72.23,70.63,22.6,16.39,47.85,43.15,20.77,72.6,47.34,26.61,90.36,38.73,31.82
37,15.46,56.51,3.27,1.71,6.23,47.13,35.95,4.07,15.22,2.5,26.77,92.79,44.9,23.73,22.17,58.02,43.08,21.68,46.4,31.35
38,23.31,13.32,5.71,3.24,40.43,13.29,49.27,34.99,10.47,103.36,59.41,14.58,25.1,21.71,28.82,13.25,1.49,5.62,3.38,8.26
39,7.07,6.76,11.04,21.24,20.5,6.31,1.74,83.29,26.85,25.78,6.7,16.38,41.02,4.88,14.23,57.72,4.7,5.4,11.81,11.07
40,6.51,16.37,12.55,15.39,18.4,32.75,14.49,52.31,16.86,58.38,5.06,1.42,11.05,11.5,20.35,5.83,11.59,22.42,13.08,7.61
,,,,,,,,,,,,,,,,,,,,
tau_elig=0.04,eta=0.01,,,,,,,,,,,,,,,,,,,
1,5.79,13.65,8.24,104.49,6.68,7.15,23.69,47.91,120,23.48,24.48,10.04,14.44,11.47,4.93,4.98,13.88,12.8,13.52,15.21
2,95.08,42.78,83.62,11.74,15.42,26.44,11.99,8.71,60.53,3.13,17.73,7.41,40.86,15.95,7.1,12.61,33.23,39.65,18.49,6.63
3,7.56,82.95,88.82,6.72,18.7,15.43,40.42,10.08,31.9,7.67,13.76,22.88,7.08,13.05,4.59,4.34,7.03,7.89,12.69,27.47
4,6.26,35.22,43.1,9.73,52.51,9.81,45.27,120,3.01,3.11,22.19,6.69,3.06,6.62,29.2,10.84,6.17,77.28,2.31,25.19
5,61.17,100.82,12.76,3.92,4.24,34.52,11.25,57.81,5.73,7.79,4.74,4.74,18.62,38.45,5.08,30.31,21.23,4.05,5.99,9.88
6,7.51,8.83,47.37,21.87,5.81,5.13,41.16,78.16,24.81,2.56,72.03,8.57,20.46,3.89,10.31,18.23,23.95,6.43,5.86,31.94
7,39.63,13.83,120,35.17,12.12,9.41,6.38,18.78,8.66,5.14,52.62,25.94,20.37,19.43,27.2,15.92,84.14,8.33,6.33,8.84
8,53.1,20.67,34.58,14.01,52.79,5.93,95.12,17.29,4.05,3.92,73.83,33,40.57,4.8,22.3,7.26,24.16,15.39,31.81,5.84
9,62.23,24.39,2.57,15.5,3.03,35,97.4,91.44,8.47,14.17,2.25,13.22,3.33,4.7,11.34,10.49,31.01,3.83,10.36,21.34
10,31.06,29.85,45.49,72.37,4.04,10.92,14.58,19.03,25.13,13.7,4.44,4.24,18.38,25.66,2.87,14.27,7.13,19.98,46.3,16.12
11,7.36,10.24,32.31,43.75,57.55,5.86,10.48,9.95,2.51,34.81,35.89,4.44,21.61,28.52,18.93,45.77,3.12,49.33,19.83,29.32
12,70.9,26.55,45.07,17.19,65.33,28.49,29.15,2.6,4.42,23.14,2.58,2.86,4.22,33.4,54.75,2.17,11.19,4.53,36.54,8.95
13,24.8,22.53,27.17,45.66,45.73,4.07,71.86,86.21,8.51,22.79,72.13,33.37,10.18,71.26,19.84,9.3,3.81,8.24,5.43,15.45
14,6.35,22.97,1.63,55.47,21.92,8.22,16.74,5.89,6.82,49.1,68.74,50.3,6.05,4.25,91.04,29.02,29.41,62.36,29.63,7.55
15,26.67,15.28,10.05,21.51,2.79,24.87,26.37,17.76,37.28,13.35,46.68,16.88,24.02,26.31,17.03,18.26,26.37,4.55,49.83,4.41
16,73.45,25.12,9.46,7.76,33.79,56.48,116.39,9.91,10.34,13.12,8.94,28.18,46.34,20.03,7.36,54.56,10,32.02,25.85,7.81
17,22.4,2.01,120,30.46,20.52,4.76,16.37,12.76,18.85,10.31,57.46,7.26,7.87,8.37,4.78,20.28,3.72,13.61,10,7.54
18,15.89,60.52,33.2,15.65,39.43,34.15,4.36,99.73,28.07,23.72,6.69,24.64,7.8,13.58,8,5.98,11.62,76.91,1.84,56.82
19,14.15,106.8,11.92,41.22,49.99,24.3,43.63,20.4,29.81,38.72,24.54,26.97,8.92,28.6,48.8,112.16,26.1,32.95,43.24,20.14
20,15.72,11.02,64.05,16.84,45.45,22.9,7.6,6.96,26.03,38.44,61.37,32.15,2.87,3.34,14.86,50.21,5.07,15.33,6.86,55.05
21,60.45,16.6,39.65,4.62,23.34,24.38,94.29,82.93,41.89,25.34,93.64,7.33,73.43,51.93,5.09,62.26,27.12,54.77,11.04,1.33
22,15.32,29.86,22.95,9,8.13,34.76,48.76,4.85,2.79,70.29,27.65,2.33,29.03,10.31,19.15,6.52,20.82,13.55,8.54,83.37
23,6.71,2.48,49,82.22,35.43,32.32,4.52,7.39,31.86,14.82,11.34,8.8,35.44,51.88,7.11,28.96,8.87,23.58,2.58,12.7
24,18.56,33.42,67.83,36.91,2.15,27.3,13.65,13.95,51.13,30.65,9.58,66.3,4.97,38.24,16.52,6.42,74.26,20.57,23.94,22.91
25,7.56,47.71,7.93,4.97,6.5,43.88,46.47,42.46,2.36,28.57,24.57,17.14,33.63,3.58,87.47,19.83,6.41,2.33,7.36,5.95
26,6.87,6.88,30.54,93.23,30.94,17.54,7.48,2.59,18.76,11.62,7.12,1.96,37.01,6.37,26.37,7.74,58,18.49,13.6,40.42
27,16.05,86.53,19.73,7.27,31.33,61.01,2.34,31.66,28.27,22.31,3.17,24.71,32.86,4.18,4.24,49.02,49.53,2.97,3.73,89.65
28,8.85,24.11,18.44,78.78,17.83,6.24,49.21,6.4,4.75,42.39,42.84,9.94,22.13,26.05,2.34,9.22,7.6,27.79,9.17,27.79
29,6.42,21.44,15.63,50.04,13.9,4.99,108.27,64.34,22.48,21.48,15.61,2.02,15.42,10.59,10.84,18.48,28.2,21.62,3.69,7.55
30,25.58,16.58,35.01,37.72,17.14,9.58,32.08,50.49,63.05,2.71,26.02,17.54,9.5,14.9,2.6,35.05,18.63,23.83,34.32,5.79
31,5.74,11.78,11.86,5.02,62.08,52.41,3.95,15.45,20.28,28.71,40.75,5.41,34.17,5.44,46.95,26.53,13.17,34.92,6.27,13.32
32,6.71,2.65,10.77,41.5,31.32,17.53,19.13,8.35,20.82,11.03,32.74,25.19,4.48,6.76,16.03,8.92,43.41,75.19,14.61,6.76
33,9.98,29.06,4.27,10.81,2.33,65.75,6.28,19.15,6.37,106.66,13.17,14.5,11.32,9.21,22.23,30.51,34.05,6.47,1.6,29.84
34,10.69,6.99,31.82,18.29,19.22,44.94,56.5,24.94,11.58,11.78,5.54,13.71,32.45,12.98,40.46,26.66,2.35,23.17,6.47,4.91
35,61.19,26.01,93.94,6.12,74.47,5.02,6.53,13.74,5.94,30.95,120,12.31,2.52,22.67,4.24,6.51,23.74,11.77,22.75,19.36
36,42.99,32.72,29.1,14.45,26.99,66.44,35.93,29,2.18,44.3,11.11,26.4,25.39,14.83,44.39,30.18,3.15,9.43,4.18,8.75
