,,,,,,,,,,,,,,,,,,,,
tau_elig=0.04,eta=0.01,,,,,,,,,,,,,,,,,,,
13,15.46,31.64,4.52,97.27,8.16,16.63,16.91,5.8,6.15,4.68,7,3.46,8.52,5.82,1.79,3.11,6.68,2.95,2.68,3.48
14,33.65,2.08,12.39,10.63,25.88,2.7,14.52,19.79,12.18,4.73,3.72,5.37,9.47,3.43,3.61,3.51,3.91,4.74,3.54,6.13
15,7.49,5.33,9.09,5.09,4.37,12.54,2.88,2.59,2.97,1.82,5.03,22.3,4.65,3.03,3.09,3.13,2.43,6.91,2.66,3.04
16,18.45,17.71,3.02,7.98,23.94,10.2,5.84,10.58,7.15,22.56,2.37,9.34,5.65,5.86,7.09,4.93,3.33,6.51,4.6,8.02
17,50.75,4.68,16.71,11.32,13.13,9.89,13.06,9.69,4.65,2.99,4.54,4.68,6.77,2.65,3.29,5.02,7.63,7.07,1.84,3.53
18,21,5.12,25.26,10.07,14.23,5.32,4.96,14.76,12.8,6.82,21.2,7.7,37.22,10.96,12.14,4.76,11.34,4.21,6.6,1.93
19,33.29,35.36,6.28,8.2,10.61,7.49,1.35,3.19,4.04,6.92,10.18,10.5,3.18,6.62,9.63,1.88,4.8,2.57,6.08,9.57
20,43.47,45.64,2.67,9.79,28.34,6.24,19.34,2.51,2.85,2.67,3.62,2.79,5.28,5.41,4.31,4.74,4.3,4.05,3.06,3.6
,,,,,,,,,,,,,,,,,,,,
tau_elig=0.04,eta=1.0,,,,,,,,,,,,,,,,,,,
1,26.39,78.28,5.88,4.29,7.17,7.72,7.39,3.7,17.25,3.15,3.26,6.12,3.85,2.82,3.76,3.87,6.82,8.19,3.43,7.54
2,61.12,37.54,15.45,6.83,2.83,3.25,2.04,3.46,2.93,3.98,3.49,5.38,3.75,3.58,3.08,9.77,4.6,4.02,5.35,3.66
3,52.38,5.49,2.17,42.08,12.51,9.54,6.54,4.89,6.06,4.64,15.29,3.59,10.03,2.24,4.56,7.99,6.74,4.28,6.2,1.8
4,15.69,15.26,5.37,7.58,14.24,15.46,2.63,4.23,2.71,1.89,4.83,13.43,7.47,8.94,8.15,4.62,1.73,4.49,2.31,7.55
5,22.17,39.2,26.53,23.02,4.59,9.03,8.86,10.1,4.56,19.64,12.42,3.59,18.74,23.75,6.24,11.56,7.08,2.94,12.68,24.17
6,62.61,5.32,2.55,7.52,17.02,7.07,9.84,4.08,1.97,8.07,13.78,32.08,3.38,4.08,3.59,2.78,6.75,3.58,3.96,3.89
7,9.41,2.51,6.03,30.1,13.95,4.89,3.06,5.29,4.52,6.95,5.25,8.67,3.36,5.51,5.04,6.08,9.7,4.27,7.03,4.97
8,7.04,31.95,14.85,13.51,10.04,3.71,3.17,6.43,4.2,3.87,4,6.07,16.12,5.22,2.82,5.99,3.99,2.75,3.57,6.95
